protein,cancer_outcome,method,n_instruments,beta,se,pvalue,OR,OR_95CI_lower,OR_95CI_upper,FDR,F_stat,is_primary_estimate
AMY2B,Ovarian_GCST90016665,Inverse variance weighted,2,0.0244,0.0267,0.361,1.0247,0.9724,1.0799,0.9600192926045017,40.3,True
CTSS,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0208,0.0206,0.312,0.9794,0.9407,1.0197,0.9600192926045017,35.7,True
CRNN,Ovarian_GCST90016665,Wald ratio,1,0.0209,0.0171,0.223,1.0211,0.9874,1.056,0.914013422818792,131.2,True
HDGF,Ovarian_GCST90016665,Wald ratio,1,-0.0075,0.011,0.496,0.9926,0.9714,1.0142,0.9600192926045017,649.3,True
FCRLB,Ovarian_GCST90016665,Wald ratio,1,0.017,0.0211,0.419,1.0172,0.976,1.06,0.9600192926045017,122.7,True
SELL,Ovarian_GCST90016665,Wald ratio,1,0.0154,0.0219,0.481,1.0155,0.973,1.06,0.9600192926045017,84.7,True
CFHR4,Ovarian_GCST90016665,Wald ratio,1,0.0252,0.023,0.274,1.0255,0.9803,1.0729,0.932561403508772,131.6,True
CFHR2,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0107,0.0124,0.388,0.9893,0.9655,1.0137,0.9600192926045017,197.5,True
PLA2G2A,Ovarian_GCST90016665,Wald ratio,1,0.0106,0.0159,0.506,1.0106,0.9796,1.0426,0.9600192926045017,290.7,True
CDA,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0098,0.0136,0.473,0.9903,0.9641,1.0171,0.9600192926045017,90.0,True
CR1,Ovarian_GCST90016665,Wald ratio,1,0.0153,0.0192,0.425,1.0155,0.9779,1.0544,0.9600192926045017,135.3,True
LEFTY2,Ovarian_GCST90016665,Weighted median,3,-0.0066,0.0101,0.513,0.9934,0.9739,1.0133,,167.0,False
AGT,Ovarian_GCST90016665,Wald ratio,1,0.0307,0.0305,0.315,1.0311,0.9713,1.0947,0.9600192926045017,52.7,True
CD164L2,Ovarian_GCST90016665,Wald ratio,1,-0.0148,0.0205,0.47,0.9853,0.9465,1.0257,0.9600192926045017,135.6,True
ROR1,Ovarian_GCST90016665,Wald ratio,1,0.0334,0.0295,0.257,1.0339,0.9759,1.0954,0.9298224852071006,73.1,True
ENO1,Ovarian_GCST90016665,Wald ratio,1,0.0405,0.0439,0.356,1.0413,0.9555,1.1349,0.9600192926045017,71.3,True
GBP1,Ovarian_GCST90016665,Wald ratio,1,0.0285,0.0294,0.331,1.029,0.9714,1.0899,0.9600192926045017,71.0,True
RBP7,Ovarian_GCST90016665,Wald ratio,1,-0.025,0.0288,0.385,0.9753,0.9217,1.032,0.9600192926045017,53.8,True
CST1,Ovarian_GCST90016665,Wald ratio,1,0.0194,0.0168,0.248,1.0196,0.9865,1.0538,0.9298224852071006,148.2,True
OXT,Ovarian_GCST90016665,Wald ratio,1,-0.0233,0.0215,0.28,0.977,0.9366,1.0191,0.9474418604651164,132.5,True
ADA,Ovarian_GCST90016665,Inverse variance weighted,2,0.0135,0.0166,0.416,1.0136,0.9811,1.0471,0.9600192926045017,57.3,True
IL10RB,Ovarian_GCST90016665,Wald ratio,1,0.0143,0.0207,0.489,1.0144,0.9741,1.0563,0.9600192926045017,111.8,True
IFNGR2,Ovarian_GCST90016665,Wald ratio,1,-0.0123,0.0124,0.323,0.9878,0.9641,1.0121,0.9600192926045017,587.2,True
SCARF2,Ovarian_GCST90016665,Wald ratio,1,-0.0261,0.0346,0.45,0.9742,0.9104,1.0425,0.9600192926045017,32.2,True
SUSD2,Ovarian_GCST90016665,Wald ratio,1,0.02,0.0244,0.414,1.0202,0.9725,1.0702,0.9600192926045017,143.1,True
GGT1,Ovarian_GCST90016665,Wald ratio,1,0.0367,0.0331,0.267,1.0374,0.9723,1.1069,0.9298224852071006,34.8,True
PIK3IP1,Ovarian_GCST90016665,Wald ratio,1,-0.0305,0.0334,0.361,0.97,0.9086,1.0356,0.9600192926045017,31.8,True
CSF2RB,Ovarian_GCST90016665,Wald ratio,1,0.0078,0.0101,0.441,1.0078,0.9881,1.0279,0.9600192926045017,1152.6,True
PLXNB2,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0164,0.0131,0.213,0.9838,0.9588,1.0094,0.914013422818792,196.2,True
IL18R1,Ovarian_GCST90016665,Inverse variance weighted,2,0.0092,0.0122,0.453,1.0092,0.9854,1.0336,0.9600192926045017,138.4,True
MARCO,Ovarian_GCST90016665,Wald ratio,1,0.0217,0.0268,0.417,1.022,0.9697,1.077,0.9600192926045017,45.2,True
HNMT,Ovarian_GCST90016665,Inverse variance weighted,2,0.0124,0.0111,0.263,1.0125,0.9907,1.0348,0.9298224852071006,295.7,True
LY75,Ovarian_GCST90016665,Inverse variance weighted,2,0.0107,0.0126,0.397,1.0108,0.986,1.0361,0.9600192926045017,156.6,True
ITGB6,Ovarian_GCST90016665,Wald ratio,1,-0.0409,0.0323,0.206,0.9599,0.901,1.0227,0.914013422818792,36.4,True
GALNT3,Ovarian_GCST90016665,Wald ratio,1,0.034,0.0339,0.315,1.0346,0.9682,1.1057,0.9600192926045017,32.9,True
FAM171B,Ovarian_GCST90016665,Wald ratio,1,0.0183,0.0241,0.447,1.0185,0.9716,1.0676,0.9600192926045017,64.2,True
ADAM23,Ovarian_GCST90016665,Inverse variance weighted,3,-0.0108,0.0152,0.478,0.9893,0.9603,1.0191,0.9600192926045017,40.1,True
CRYGD,Ovarian_GCST90016665,Inverse variance weighted,4,-0.007,0.0082,0.392,0.993,0.9772,1.0091,0.9600192926045017,171.8,True
CRYGD,Ovarian_GCST90016665,MR Egger,4,0.0211,0.0264,0.509,1.0213,0.9698,1.0755,,171.8,False
CD207,Ovarian_GCST90016665,Wald ratio,1,-0.0149,0.0197,0.45,0.9852,0.9478,1.0241,0.9600192926045017,90.2,True
REG3G,Ovarian_GCST90016665,Inverse variance weighted,3,0.0112,0.0151,0.458,1.0112,0.9818,1.0415,0.9600192926045017,59.6,True
REG3G,Ovarian_GCST90016665,Weighted median,3,0.0172,0.019,0.365,1.0174,0.9802,1.056,,59.6,False
CAPG,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0075,0.0106,0.48,0.9925,0.9721,1.0134,0.9600192926045017,269.5,True
GNLY,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0161,0.014,0.251,0.984,0.9573,1.0115,0.9298224852071006,136.7,True
CRELD1,Ovarian_GCST90016665,Wald ratio,1,-0.0121,0.0182,0.507,0.988,0.9534,1.0239,0.9600192926045017,145.6,True
NUDT16,Ovarian_GCST90016665,Wald ratio,1,-0.0208,0.023,0.365,0.9794,0.9362,1.0246,0.9600192926045017,60.9,True
CLSTN2,Ovarian_GCST90016665,Wald ratio,1,0.0295,0.036,0.413,1.0299,0.9597,1.1052,0.9600192926045017,33.5,True
CHL1,Ovarian_GCST90016665,Wald ratio,1,-0.0256,0.0373,0.491,0.9747,0.906,1.0485,0.9600192926045017,31.8,True
AHSG,Ovarian_GCST90016665,Inverse variance weighted,2,0.0139,0.0149,0.351,1.014,0.9849,1.0439,0.9600192926045017,233.7,True
FETUB,Ovarian_GCST90016665,Wald ratio,1,-0.0248,0.031,0.424,0.9755,0.918,1.0367,0.9600192926045017,37.2,True
TFRC,Ovarian_GCST90016665,Wald ratio,1,-0.0265,0.0276,0.336,0.9738,0.9226,1.0279,0.9600192926045017,55.6,True
IL5RA,Ovarian_GCST90016665,Wald ratio,1,0.0442,0.0504,0.38,1.0452,0.9469,1.1536,0.9600192926045017,32.4,True
FAM3D,Ovarian_GCST90016665,Wald ratio,1,-0.0341,0.0377,0.366,0.9664,0.8975,1.0406,0.9600192926045017,35.2,True
BST1,Ovarian_GCST90016665,MR Egger,3,-0.0561,0.0508,0.468,0.9454,0.8558,1.0444,,290.5,False
SOD3,Ovarian_GCST90016665,Wald ratio,1,-0.0367,0.0299,0.219,0.9639,0.9091,1.022,0.914013422818792,80.1,True
KDR,Ovarian_GCST90016665,Wald ratio,1,0.0184,0.027,0.495,1.0186,0.9661,1.074,0.9600192926045017,64.2,True
IGFBP7,Ovarian_GCST90016665,Wald ratio,1,-0.036,0.0323,0.265,0.9646,0.9055,1.0276,0.9298224852071006,44.4,True
PSAPL1,Ovarian_GCST90016665,Inverse variance weighted,3,0.0085,0.0118,0.473,1.0085,0.9854,1.0322,0.9600192926045017,113.1,True
PSAPL1,Ovarian_GCST90016665,Weighted median,3,0.009,0.0135,0.504,1.0091,0.9827,1.0361,,113.1,False
FBN2,Ovarian_GCST90016665,Wald ratio,1,0.0257,0.0333,0.44,1.0261,0.9612,1.0953,0.9600192926045017,34.4,True
TXNDC15,Ovarian_GCST90016665,Inverse variance weighted,2,0.0112,0.0108,0.298,1.0113,0.9902,1.0329,0.9561428571428572,361.0,True
PCDH12,Ovarian_GCST90016665,Wald ratio,1,-0.043,0.0359,0.232,0.9579,0.8928,1.0278,0.914013422818792,31.3,True
IL12B,Ovarian_GCST90016665,Wald ratio,1,-0.0244,0.0205,0.234,0.9759,0.9374,1.016,0.914013422818792,88.5,True
IL7R,Ovarian_GCST90016665,Inverse variance weighted,2,0.0068,0.0104,0.512,1.0068,0.9866,1.0275,0.9600192926045017,276.6,True
EGFLAM,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0164,0.0172,0.34,0.9837,0.9512,1.0174,0.9600192926045017,46.9,True
IL31RA,Ovarian_GCST90016665,Inverse variance weighted,3,-0.0152,0.0121,0.209,0.9849,0.9619,1.0085,0.914013422818792,91.8,True
IL31RA,Ovarian_GCST90016665,Weighted median,3,-0.0168,0.015,0.264,0.9834,0.9549,1.0127,,91.8,False
SMPDL3A,Ovarian_GCST90016665,Wald ratio,1,0.0209,0.0171,0.22,1.0212,0.9876,1.0559,0.914013422818792,253.3,True
VNN1,Ovarian_GCST90016665,MR Egger,3,0.0506,0.0271,0.313,1.0519,0.9975,1.1093,,167.8,False
LRP11,Ovarian_GCST90016665,Wald ratio,1,0.0136,0.0192,0.48,1.0137,0.9762,1.0526,0.9600192926045017,130.7,True
RNASET2,Ovarian_GCST90016665,Wald ratio,1,-0.0379,0.0313,0.227,0.9628,0.9054,1.0238,0.914013422818792,41.7,True
MDGA1,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0061,0.0086,0.476,0.9939,0.9773,1.0108,0.9600192926045017,445.8,True
DNPH1,Ovarian_GCST90016665,Wald ratio,1,0.024,0.025,0.336,1.0243,0.9753,1.0758,0.9600192926045017,44.1,True
CRISP3,Ovarian_GCST90016665,Wald ratio,1,0.0111,0.0169,0.51,1.0112,0.9783,1.0452,0.9600192926045017,167.1,True
CRISP2,Ovarian_GCST90016665,MR Egger,3,-0.1044,0.0535,0.301,0.9008,0.8112,1.0004,,104.5,False
GFRAL,Ovarian_GCST90016665,Wald ratio,1,-0.0262,0.0373,0.482,0.9742,0.9055,1.048,0.9600192926045017,31.2,True
ADGRB3,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0081,0.0115,0.482,0.9919,0.9697,1.0146,0.9600192926045017,217.5,True
CD109,Ovarian_GCST90016665,Wald ratio,1,0.0084,0.0118,0.48,1.0084,0.9853,1.032,0.9600192926045017,392.7,True
EPHA1,Ovarian_GCST90016665,Wald ratio,1,-0.0441,0.037,0.233,0.9569,0.89,1.0288,0.914013422818792,37.3,True
GIMAP7,Ovarian_GCST90016665,Wald ratio,1,-0.0211,0.0212,0.318,0.9791,0.9392,1.0206,0.9600192926045017,114.2,True
CPVL,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0239,0.0299,0.425,0.9764,0.9208,1.0354,0.9600192926045017,119.7,True
CCL24,Ovarian_GCST90016665,MR Egger,3,0.0204,0.0209,0.509,1.0206,0.9796,1.0633,,183.3,False
HSPB1,Ovarian_GCST90016665,Wald ratio,1,-0.0248,0.0262,0.344,0.9755,0.9266,1.027,0.9600192926045017,60.7,True
ZP3,Ovarian_GCST90016665,Inverse variance weighted,2,0.0065,0.0081,0.426,1.0065,0.9906,1.0226,0.9600192926045017,585.6,True
PON1,Ovarian_GCST90016665,Wald ratio,1,0.0156,0.0147,0.29,1.0157,0.9868,1.0454,0.9561428571428572,217.9,True
MSRA,Ovarian_GCST90016665,Wald ratio,1,-0.1294,0.1063,0.223,0.8786,0.7133,1.0822,0.914013422818792,37.7,True
SLURP1,Ovarian_GCST90016665,Wald ratio,1,-0.0261,0.0282,0.354,0.9742,0.9218,1.0296,0.9600192926045017,49.5,True
LY6D,Ovarian_GCST90016665,Inverse variance weighted,3,0.0121,0.0152,0.425,1.0122,0.9825,1.0428,0.9600192926045017,64.8,True
NAPRT,Ovarian_GCST90016665,Wald ratio,1,-0.0247,0.0351,0.482,0.9756,0.9107,1.0452,0.9600192926045017,33.0,True
FGL1,Ovarian_GCST90016665,Inverse variance weighted,4,-0.0107,0.0128,0.406,0.9894,0.9648,1.0146,0.9600192926045017,113.5,True
FGL1,Ovarian_GCST90016665,MR Egger,4,-0.067,0.0641,0.406,0.9352,0.8249,1.0603,,113.5,False
FGL1,Ovarian_GCST90016665,Weighted median,4,-0.0088,0.0134,0.51,0.9912,0.9655,1.0176,,113.5,False
TNFRSF10A,Ovarian_GCST90016665,Inverse variance weighted,2,0.016,0.0167,0.338,1.0162,0.9834,1.05,0.9600192926045017,66.4,True
SCARA5,Ovarian_GCST90016665,Wald ratio,1,0.0326,0.0368,0.376,1.0331,0.9612,1.1105,0.9600192926045017,31.2,True
PXDNL,Ovarian_GCST90016665,Wald ratio,1,0.0328,0.0271,0.226,1.0333,0.9799,1.0896,0.914013422818792,65.5,True
GGH,Ovarian_GCST90016665,Inverse variance weighted,2,0.0203,0.0193,0.294,1.0205,0.9826,1.0598,0.9561428571428572,65.1,True
ANGPT2,Ovarian_GCST90016665,Wald ratio,1,-0.0307,0.0386,0.427,0.9698,0.8991,1.046,0.9600192926045017,30.4,True
SH3GLB2,Ovarian_GCST90016665,Wald ratio,1,0.0277,0.0379,0.464,1.0281,0.9545,1.1074,0.9600192926045017,37.3,True
OBP2B,Ovarian_GCST90016665,Wald ratio,1,0.0182,0.0166,0.272,1.0184,0.9858,1.0521,0.9312,251.6,True
FCN2,Ovarian_GCST90016665,Inverse variance weighted,2,0.0155,0.0124,0.209,1.0157,0.9913,1.0406,0.914013422818792,206.4,True
PAEP,Ovarian_GCST90016665,Inverse variance weighted,2,0.0127,0.0113,0.26,1.0128,0.9907,1.0354,0.9298224852071006,156.6,True
SPINK4,Ovarian_GCST90016665,Inverse variance weighted,2,0.0072,0.0103,0.481,1.0073,0.9872,1.0277,0.9600192926045017,247.6,True
NUDT2,Ovarian_GCST90016665,Wald ratio,1,0.0219,0.0334,0.513,1.0221,0.9573,1.0914,0.9600192926045017,36.8,True
CEMIP2,Ovarian_GCST90016665,Wald ratio,1,-0.0497,0.0563,0.377,0.9515,0.8522,1.0625,0.9600192926045017,54.2,True
LAMB1,Ovarian_GCST90016665,Wald ratio,1,-0.0197,0.0303,0.517,0.9805,0.9239,1.0406,0.9644038461538462,63.3,True
LY6D,Ovarian_GCST90016665,Weighted median,3,0.0112,0.0172,0.516,1.0113,0.9777,1.046,,64.8,False
ADAM23,Ovarian_GCST90016665,Weighted median,3,-0.0114,0.0176,0.52,0.9887,0.9551,1.0235,,40.1,False
KAZALD1,Ovarian_GCST90016665,Wald ratio,1,0.0073,0.0215,0.733,1.0074,0.9658,1.0507,0.9762987012987013,189.4,True
ECHDC3,Ovarian_GCST90016665,Wald ratio,1,-0.0091,0.0199,0.646,0.9909,0.953,1.0303,0.9762987012987013,67.8,True
NRP1,Ovarian_GCST90016665,Wald ratio,1,0.0113,0.0249,0.649,1.0114,0.9632,1.062,0.9762987012987013,62.0,True
MSMB,Ovarian_GCST90016665,Inverse variance weighted,2,0.0035,0.0084,0.677,1.0035,0.9871,1.0202,0.9762987012987013,398.7,True
MBL2,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0036,0.0103,0.726,0.9964,0.9765,1.0167,0.9762987012987013,247.8,True
IL15RA,Ovarian_GCST90016665,Wald ratio,1,0.014,0.0315,0.658,1.0141,0.9533,1.0787,0.9762987012987013,36.0,True
IL2RA,Ovarian_GCST90016665,Inverse variance weighted,2,0.0066,0.0155,0.668,1.0067,0.9765,1.0377,0.9762987012987013,71.7,True
FAS,Ovarian_GCST90016665,Wald ratio,1,0.01,0.0344,0.772,1.01,0.9441,1.0805,0.9762987012987013,33.5,True
TCTN3,Ovarian_GCST90016665,Wald ratio,1,0.0056,0.0182,0.76,1.0056,0.9704,1.0421,0.9762987012987013,140.6,True
MMP10,Ovarian_GCST90016665,Wald ratio,1,0.0166,0.0285,0.559,1.0168,0.9616,1.0751,0.975606936416185,43.4,True
AMPD3,Ovarian_GCST90016665,Wald ratio,1,-0.0168,0.0356,0.636,0.9833,0.9171,1.0543,0.9762987012987013,46.5,True
TMPRSS5,Ovarian_GCST90016665,Wald ratio,1,0.0091,0.0149,0.54,1.0091,0.9802,1.039,0.97,253.5,True
SERPING1,Ovarian_GCST90016665,Wald ratio,1,-0.0217,0.0376,0.564,0.9786,0.9091,1.0533,0.975606936416185,34.1,True
TCN1,Ovarian_GCST90016665,Inverse variance weighted,3,-0.0052,0.014,0.712,0.9948,0.9679,1.0226,0.9762987012987013,77.2,True
TCN1,Ovarian_GCST90016665,Weighted median,3,-0.0048,0.0152,0.751,0.9952,0.966,1.0252,,77.2,False
CTSC,Ovarian_GCST90016665,Wald ratio,1,-0.0076,0.0164,0.643,0.9924,0.961,1.0249,0.9762987012987013,138.3,True
STAB2,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0082,0.0265,0.758,0.9919,0.9416,1.0448,0.9762987012987013,46.7,True
KLRK1,Ovarian_GCST90016665,Wald ratio,1,-0.008,0.0229,0.725,0.992,0.9485,1.0375,0.9762987012987013,75.0,True
PRR4,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0072,0.0147,0.625,0.9929,0.9647,1.0218,0.9762987012987013,254.6,True
PXN,Ovarian_GCST90016665,Wald ratio,1,-0.0096,0.0196,0.625,0.9905,0.953,1.0293,0.9762987012987013,126.4,True
LTBR,Ovarian_GCST90016665,Wald ratio,1,0.0124,0.0316,0.694,1.0125,0.9518,1.0771,0.9762987012987013,41.1,True
C1S,Ovarian_GCST90016665,Wald ratio,1,0.0091,0.0215,0.67,1.0092,0.9676,1.0526,0.9762987012987013,146.6,True
C1R,Ovarian_GCST90016665,Wald ratio,1,0.0153,0.0386,0.691,1.0155,0.9414,1.0953,0.9762987012987013,42.5,True
C1RL,Ovarian_GCST90016665,Wald ratio,1,0.0122,0.026,0.641,1.0122,0.9619,1.0652,0.9762987012987013,62.9,True
RBP5,Ovarian_GCST90016665,Wald ratio,1,0.0165,0.0378,0.664,1.0166,0.9439,1.0949,0.9762987012987013,31.1,True
GLIPR1,Ovarian_GCST90016665,Wald ratio,1,0.0118,0.0335,0.726,1.0118,0.9475,1.0806,0.9762987012987013,33.3,True
CLEC4D,Ovarian_GCST90016665,Wald ratio,1,-0.0098,0.0258,0.705,0.9903,0.9415,1.0416,0.9762987012987013,68.7,True
GPC5,Ovarian_GCST90016665,MR Egger,3,-0.0174,0.0466,0.772,0.9827,0.897,1.0766,,113.4,False
ANG,Ovarian_GCST90016665,MR Egger,3,-0.0444,0.0744,0.657,0.9566,0.8268,1.1067,,74.5,False
EDDM3B,Ovarian_GCST90016665,Wald ratio,1,0.013,0.0231,0.573,1.0131,0.9682,1.0601,0.975606936416185,61.8,True
LGALS3,Ovarian_GCST90016665,Wald ratio,1,0.0145,0.0232,0.533,1.0146,0.9694,1.0619,0.97,78.7,True
SERPINA11,Ovarian_GCST90016665,Inverse variance weighted,2,0.0075,0.0171,0.659,1.0075,0.9744,1.0418,0.9762987012987013,79.6,True
SERPINA9,Ovarian_GCST90016665,Weighted median,4,0.01,0.0234,0.67,1.01,0.9647,1.0575,,44.1,False
PRTG,Ovarian_GCST90016665,Inverse variance weighted,2,0.0071,0.0229,0.757,1.0071,0.9629,1.0534,0.9762987012987013,62.1,True
CD276,Ovarian_GCST90016665,Wald ratio,1,0.0058,0.015,0.701,1.0058,0.9766,1.0358,0.9762987012987013,360.9,True
MPI,Ovarian_GCST90016665,Wald ratio,1,0.018,0.0325,0.58,1.0182,0.9553,1.0852,0.975606936416185,40.0,True
PRSS53,Ovarian_GCST90016665,MR Egger,3,-0.0458,0.0581,0.575,0.9552,0.8524,1.0705,,116.6,False
CCL15,Ovarian_GCST90016665,Wald ratio,1,0.0087,0.014,0.532,1.0088,0.9815,1.0367,0.97,397.9,True
CCL18,Ovarian_GCST90016665,Wald ratio,1,-0.0067,0.02,0.738,0.9933,0.9551,1.033,0.9762987012987013,160.9,True
ERBB2,Ovarian_GCST90016665,Wald ratio,1,0.0271,0.0477,0.569,1.0275,0.9358,1.1281,0.975606936416185,32.5,True
VMO1,Ovarian_GCST90016665,Wald ratio,1,0.0059,0.0167,0.723,1.0059,0.9735,1.0394,0.9762987012987013,285.6,True
SCPEP1,Ovarian_GCST90016665,Wald ratio,1,-0.0111,0.03,0.711,0.9889,0.9324,1.0489,0.9762987012987013,37.2,True
LPO,Ovarian_GCST90016665,Wald ratio,1,0.0197,0.0391,0.614,1.0199,0.9447,1.1011,0.9762987012987013,30.8,True
APOH,Ovarian_GCST90016665,Inverse variance weighted,2,0.0067,0.0147,0.648,1.0067,0.9782,1.0361,0.9762987012987013,63.4,True
SDK2,Ovarian_GCST90016665,Wald ratio,1,-0.0141,0.0231,0.542,0.986,0.9424,1.0317,0.97,74.5,True
MEP1B,Ovarian_GCST90016665,Inverse variance weighted,2,0.0051,0.0178,0.773,1.0051,0.9707,1.0409,0.9762987012987013,376.5,True
DCC,Ovarian_GCST90016665,Wald ratio,1,0.0097,0.0227,0.671,1.0097,0.9657,1.0557,0.9762987012987013,77.9,True
TNFRSF11A,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0129,0.0201,0.522,0.9872,0.949,1.0269,0.97,51.2,True
ICAM1,Ovarian_GCST90016665,Wald ratio,1,0.0153,0.0335,0.647,1.0154,0.9509,1.0843,0.9762987012987013,44.6,True
ICAM5,Ovarian_GCST90016665,Wald ratio,1,0.005,0.0159,0.753,1.005,0.9741,1.0369,0.9762987012987013,254.7,True
ACP5,Ovarian_GCST90016665,Wald ratio,1,0.0138,0.0368,0.708,1.0139,0.9433,1.0897,0.9762987012987013,32.6,True
PGLYRP2,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0034,0.0087,0.695,0.9966,0.9796,1.0138,0.9762987012987013,497.8,True
NPHS1,Ovarian_GCST90016665,Wald ratio,1,0.0092,0.0313,0.77,1.0092,0.9492,1.073,0.9762987012987013,63.4,True
MIA,Ovarian_GCST90016665,Wald ratio,1,-0.0065,0.0177,0.713,0.9935,0.9596,1.0286,0.9762987012987013,383.8,True
CD177,Ovarian_GCST90016665,Inverse variance weighted,2,0.0082,0.0193,0.671,1.0082,0.9708,1.0471,0.9762987012987013,136.5,True
CEACAM16,Ovarian_GCST90016665,Inverse variance weighted,2,0.0098,0.0265,0.712,1.0098,0.9588,1.0635,0.9762987012987013,35.4,True
DKKL1,Ovarian_GCST90016665,Wald ratio,1,0.0038,0.0097,0.694,1.0038,0.985,1.023,0.9762987012987013,470.7,True
KLK15,Ovarian_GCST90016665,MR Egger,4,0.012,0.0253,0.682,1.0121,0.9632,1.0635,,130.4,False
KLK11,Ovarian_GCST90016665,Wald ratio,1,-0.0112,0.0365,0.759,0.9889,0.9206,1.0621,0.9762987012987013,39.9,True
KLK12,Ovarian_GCST90016665,Wald ratio,1,-0.0042,0.0098,0.665,0.9958,0.9769,1.015,0.9762987012987013,926.3,True
KLK14,Ovarian_GCST90016665,Wald ratio,1,0.0185,0.0315,0.558,1.0186,0.9576,1.0836,0.975606936416185,35.2,True
SIGLEC8,Ovarian_GCST90016665,Inverse variance weighted,2,0.0249,0.0448,0.579,1.0252,0.9389,1.1194,0.975606936416185,119.8,True
LILRA6,Ovarian_GCST90016665,Wald ratio,1,-0.0078,0.0141,0.579,0.9922,0.9653,1.0199,0.975606936416185,325.9,True
LAIR2,Ovarian_GCST90016665,Wald ratio,1,-0.0065,0.0196,0.742,0.9936,0.9561,1.0325,0.9762987012987013,95.8,True
LILRB1,Ovarian_GCST90016665,Wald ratio,1,-0.0168,0.034,0.621,0.9833,0.9199,1.0511,0.9762987012987013,34.3,True
FCAR,Ovarian_GCST90016665,Wald ratio,1,0.0101,0.02,0.613,1.0101,0.9714,1.0505,0.9762987012987013,146.9,True
GP6,Ovarian_GCST90016665,Wald ratio,1,-0.0063,0.0221,0.775,0.9937,0.9515,1.0377,0.9762987012987013,71.1,True
CCL25,Ovarian_GCST90016665,Wald ratio,1,-0.0087,0.0171,0.612,0.9914,0.9587,1.0252,0.9762987012987013,192.1,True
PROK1,Ovarian_GCST90016665,Inverse variance weighted,2,0.0084,0.0139,0.545,1.0085,0.9813,1.0364,0.97,108.3,True
CD101,Ovarian_GCST90016665,MR Egger,3,0.0226,0.0544,0.749,1.0229,0.9193,1.1381,,98.8,False
ACP6,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0076,0.0203,0.708,0.9924,0.9536,1.0328,0.9762987012987013,235.3,True
SPRR3,Ovarian_GCST90016665,Wald ratio,1,0.009,0.0275,0.745,1.009,0.956,1.0649,0.9762987012987013,57.3,True
S100A4,Ovarian_GCST90016665,Wald ratio,1,-0.0132,0.0416,0.751,0.9869,0.9096,1.0707,0.9762987012987013,64.2,True
ADAM15,Ovarian_GCST90016665,Inverse variance weighted,2,-0.0076,0.0178,0.67,0.9924,0.9584,1.0277,0.9762987012987013,115.3,True
FCRL2,Ovarian_GCST90016665,Inverse variance weighted,2,0.0061,0.0167,0.715,1.0061,0.9738,1.0395,0.9762987012987013,77.2,True
FCRL1,Ovarian_GCST90016665,Wald ratio,1,-0.0157,0.0269,0.56,0.9844,0.9339,1.0377,0.975606936416185,54.4,True
XCL1,Ovarian_GCST90016665,Wald ratio,1,-0.0063,0.016,0.696,0.9938,0.963,1.0255,0.9762987012987013,218.1,True
ANGPTL1,Ovarian_GCST90016665,Wald ratio,1,0.0141,0.0342,0.681,1.0142,0.9483,1.0846,0.9762987012987013,37.6,True
QSOX1,Ovarian_GCST90016665,Wald ratio,1,0.0084,0.0182,0.643,1.0085,0.9731,1.0451,0.9762987012987013,116.0,True
CFH,Ovarian_GCST90016665,Wald ratio,1,-0.0148,0.0274,0.589,0.9853,0.9339,1.0396,0.9762987012987013,43.7,True
CHI3L1,Ovarian_GCST90016665,Wald ratio,1,0.0059,0.018,0.745,1.0059,0.971,1.042,0.9762987012987013,170.9,True
CHIT1,Ovarian_GCST90016665,Inverse variance weighted,3,-0.0035,0.0102,0.731,0.9965,0.9769,1.0166,0.9762987012987013,192.8,True
CHIT1,Ovarian_GCST90016665,MR Egger,3,-0.0202,0.0242,0.557,0.98,0.9347,1.0275,,192.8,False
CHIT1,Ovarian_GCST90016665,Weighted median,3,-0.0036,0.0105,0.735,0.9964,0.9761,1.0172,,192.8,False
OPTC,Ovarian_GCST90016665,Wald ratio,1,0.0216,0.0538,0.688,1.0218,0.9195,1.1355,0.9762987012987013,31.7,True
LEFTY2,Ovarian_GCST90016665,Inverse variance weighted,3,-0.0055,0.0091,0.544,0.9945,0.9769,1.0124,0.97,167.0,True
LEFTY2,Ovarian_GCST90016665,MR Egger,3,0.0447,0.0701,0.639,1.0457,0.9114,1.1998,,167.0,False
GALNT2,Ovarian_GCST90016665,Wald ratio,1,0.0184,0.0335,0.584,1.0185,0.9538,1.0877,0.9762987012987013,41.4,True
C8B,Ovarian_GCST90016665,Wald ratio,1,-0.0133,0.0237,0.575,0.9868,0.942,1.0337,0.975606936416185,83.9,True
